preference_key,movie_title,star_cast,rating,year,place,vote,link
2,Golpes del destino,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.089534952591174,2004,173,,/title/tt0405159/
3,Atrápame si puedes,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.088260641819193,2002,174,,/title/tt0264464/
4,La quimera del oro,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.086494029220148,1925,175,,/title/tt0015864/
1,Los niños del cielo,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.08561027336538,1997,176,,/title/tt0118849/
2,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.08508605850205,1982,177,,/title/tt0083658/
3,Nido de ratas,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.082742071307196,1954,178,,/title/tt0047296/
4,El tercer hombre,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.080465954238807,1949,179,,/title/tt0041959/
1,12 años esclavo,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.079564737840123,2013,180,,/title/tt2024544/
2,Antes del amanecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.079482492475416,1995,181,,/title/tt0112471/
3,Fresas silvestres,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.079354356604009,1957,182,,/title/tt0050986/
4,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.077921402652121,1959,183,,/title/tt0052618/
1,Harry Potter y las reliquias de la muerte 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.07773654805633,2011,184,,/title/tt1201607/
2,La General,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.077256091866055,1926,185,,/title/tt0017925/
3,Perdida,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.077065454885552,2014,186,,/title/tt2267998/
4,El francotirador,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.075311779472662,1978,187,,/title/tt0077416/
1,En el nombre del padre,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.074499171978507,1993,188,,/title/tt0107207/
2,El gran hotel Budapest,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.074066785407089,2014,189,,/title/tt2278388/
3,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.072753981297607,1975,190,,/title/tt0072684/
4,El salario del miedo,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.072455449965902,1953,191,,/title/tt0046268/
1,Sherlock Jr,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.069939523608088,1924,192,,/title/tt0015324/
2,Caballero sin espada,"Frank Capra (dir.), James Stewart, Jean Arthur",8.069821430990146,1939,193,,/title/tt0031679/
3,Salinui chueok,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",8.068859040766485,2003,194,,/title/tt0353969/
4,Hasta el último hombre,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.068441844255553,2016,195,,/title/tt2119532/
1,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.068141197446204,2019,196,,/title/tt4729430/
2,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.06671905298624,2014,197,,/title/tt3011894/
3,El séptimo sello,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.065910585715045,1957,198,,/title/tt0050976/
4,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.0644121800735,2015,199,,/title/tt3170832/
1,Mad Max: Furia en el camino,"George Miller (dir.), Tom Hardy, Charlize Theron",8.063080291336536,2015,200,,/title/tt1392190/
2,Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.06180318254842,2009,201,,/title/tt0978762/
3,Cómo entrenar a tu dragón,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.0616052249799,2010,202,,/title/tt0892769/
4,Identidad peligrosa,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.060838073001777,1998,203,,/title/tt0118715/
1,Tiburón,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.059571722416115,1975,204,,/title/tt0073195/
2,"Monsters, Inc","Pete Docter (dir.), Billy Crystal, John Goodman",8.05939545024158,2001,205,,/title/tt0198781/
3,La pasión de Juana de Arco,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.058013716598147,1928,206,,/title/tt0019254/
4,Cuentos de Tokio,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.05762262920134,1953,207,,/title/tt0046438/
1,La sociedad de los poetas muertos,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.055081790562799,1989,208,,/title/tt0097165/
2,Hotel Ruanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.052094446612763,2004,209,,/title/tt0395169/
3,Todo en Todas Partes al Mismo Tiempo,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",8.048597275750412,2022,210,,/title/tt6710474/
4,Contra lo imposible,"James Mangold (dir.), Matt Damon, Christian Bale",8.046971757797996,2019,211,,/title/tt1950186/
1,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.046403923790653,1976,212,,/title/tt0075148/
2,Pelotón,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.04619488881173,1986,213,,/title/tt0091763/
3,La canción del camino,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.043201422260806,1955,214,,/title/tt0048473/
4,Cuenta conmigo,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.040661894327693,1986,215,,/title/tt0092005/
1,Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.040247163530518,1984,216,,/title/tt0088247/
2,En primera plana,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.039876376302086,2015,217,,/title/tt1895587/
